Normal, Virus or Bacteria resnet34 trained model
Optimizer : rmsprop, Final activation : sigmoid
--------------------------------------------------------------

METRICS :
loss : 1.0257635414600372
accuracy : 0.5090909004211426
true_positives : 0.0
false_positives : 0.0
true_negatives : 330.0
false_negatives : 165.0
precision : 0.0
recall : 0.0
auc : 0.6757575273513794

PREDICTIONS :
Predictions : [0.28906447 0.47154033 0.23939517], Result : BACTERIA
Predictions : [0.2893873  0.4704132  0.24019945], Result : BACTERIA
Predictions : [0.2892711  0.47081158 0.2399173 ], Result : BACTERIA
Predictions : [0.28950635 0.47001508 0.24047863], Result : BACTERIA
Predictions : [0.28939313 0.47039348 0.24021332], Result : BACTERIA
Predictions : [0.28937384 0.4704588  0.24016729], Result : BACTERIA
Predictions : [0.28930536 0.47069305 0.2400016 ], Result : BACTERIA
Predictions : [0.28942218 0.47029564 0.2402821 ], Result : BACTERIA
Predictions : [0.28929842 0.4707171  0.23998453], Result : BACTERIA
Predictions : [0.2894336  0.47025746 0.2403089 ], Result : BACTERIA
Predictions : [0.28945664 0.47018066 0.24036278], Result : BACTERIA
Predictions : [0.28930098 0.47070822 0.23999085], Result : BACTERIA
Predictions : [0.28937402 0.47045827 0.24016769], Result : BACTERIA
Predictions : [0.2894284  0.47027472 0.24029683], Result : BACTERIA
Predictions : [0.2891307 0.4713059 0.2395633], Result : BACTERIA
Predictions : [0.28925815 0.47085667 0.23988518], Result : BACTERIA
Predictions : [0.28938058 0.47043595 0.24018347], Result : BACTERIA
Predictions : [0.28913775 0.47128102 0.2395812 ], Result : BACTERIA
Predictions : [0.28910232 0.47140646 0.23949124], Result : BACTERIA
Predictions : [0.2894752  0.4701189  0.24040592], Result : BACTERIA
Predictions : [0.28917944 0.47113332 0.23968732], Result : BACTERIA
Predictions : [0.2894456  0.47021735 0.24033706], Result : BACTERIA
Predictions : [0.2896334  0.46959797 0.24076863], Result : BACTERIA
Predictions : [0.28932035 0.4706414  0.24003819], Result : BACTERIA
Predictions : [0.28920993 0.47102538 0.23976463], Result : BACTERIA
Predictions : [0.2893476  0.47054827 0.24010417], Result : BACTERIA
Predictions : [0.28906003 0.47155526 0.23938476], Result : BACTERIA
Predictions : [0.2895678  0.4698118  0.24062043], Result : BACTERIA
Predictions : [0.28933343 0.47059646 0.24007003], Result : BACTERIA
Predictions : [0.2892107  0.47102264 0.23976658], Result : BACTERIA
Predictions : [0.28930166 0.47070575 0.23999259], Result : BACTERIA
Predictions : [0.28961307 0.46966398 0.24072303], Result : BACTERIA
Predictions : [0.28929973 0.47071245 0.23998779], Result : BACTERIA
Predictions : [0.28948563 0.47008434 0.2404301 ], Result : BACTERIA
Predictions : [0.28932187 0.47063628 0.24004187], Result : BACTERIA
Predictions : [0.2895306  0.4699345  0.24053487], Result : BACTERIA
Predictions : [0.28931615 0.47065604 0.2400279 ], Result : BACTERIA
Predictions : [0.289394   0.47039053 0.24021542], Result : BACTERIA
Predictions : [0.28945327 0.4701917  0.24035498], Result : BACTERIA
Predictions : [0.28957793 0.46977854 0.24064356], Result : BACTERIA
Predictions : [0.28935164 0.47053438 0.24011399], Result : BACTERIA
Predictions : [0.28952143 0.4699649  0.24051368], Result : BACTERIA
Predictions : [0.28952754 0.4699446  0.24052787], Result : BACTERIA
Predictions : [0.28919357 0.47108322 0.2397232 ], Result : BACTERIA
Predictions : [0.2894368  0.47024694 0.24031636], Result : BACTERIA
Predictions : [0.289578   0.4697784  0.24064362], Result : BACTERIA
Predictions : [0.2894206  0.4703009  0.24027842], Result : BACTERIA
Predictions : [0.28935575 0.4705204  0.24012388], Result : BACTERIA
Predictions : [0.28939414 0.47039017 0.24021569], Result : BACTERIA
